iter	RMSE
0	0.04765437156
1	0.04727653138
2	0.04690505809
3	0.04663252558
4	0.04633040265
5	0.04594437844
6	0.04568250888
7	0.0453593157
8	0.04505922194
9	0.04484840035
10	0.04454618868
11	0.04433717968
12	0.04411794868
13	0.04389114963
14	0.04365386049
15	0.04342206464
16	0.04319003302
17	0.04293383309
18	0.04271049185
19	0.04251617646
20	0.04229950891
21	0.04208705793
22	0.04194437144
23	0.04179874179
24	0.04166736238
25	0.04145423111
26	0.04124775513
27	0.04104885305
28	0.0408508847
29	0.04070318457
30	0.04057858146
31	0.04042249328
32	0.04027622499
33	0.04012445086
34	0.03991233723
35	0.03971552441
36	0.03954928189
37	0.03936469172
38	0.03920366563
39	0.0390368705
40	0.03891144573
41	0.03875753891
42	0.03862231397
43	0.03847848006
44	0.03836180763
45	0.03826915604
46	0.03812389613
47	0.03799984021
48	0.03786409802
49	0.03773889159
50	0.03764229077
51	0.03756231409
52	0.03746937126
53	0.03739795839
54	0.03728505379
55	0.03718523149
56	0.03704949421
57	0.03694776642
58	0.03688258833
59	0.03678373423
60	0.0367161163
61	0.03658850851
62	0.0364126547
63	0.03631469061
64	0.03617243815
65	0.03609407605
66	0.03596434595
67	0.03586035408
68	0.03579931554
69	0.03564904993
70	0.03555494991
71	0.03547062373
72	0.03541548338
73	0.03535036152
74	0.0352839853
75	0.03521316823
76	0.03515535868
77	0.03505053616
78	0.03493387326
79	0.03483293032
80	0.03473468821
81	0.03467380748
82	0.03460988439
83	0.034551266
84	0.03446273473
85	0.03442738661
86	0.0343267047
87	0.03424777227
88	0.03415133315
89	0.03404926588
90	0.03397387356
91	0.03389954204
92	0.03386873663
93	0.03380003703
94	0.03369165616
95	0.0336002712
96	0.03350512381
97	0.0334501394
98	0.03338964776
99	0.03332707878
100	0.03323570711
101	0.0332113797
102	0.03316137829
103	0.03307902786
104	0.03301397904
105	0.03291874279
106	0.03285076008
107	0.03280460611
108	0.03266350171
109	0.03257516894
110	0.03248797153
111	0.03239855365
112	0.03234836384
113	0.0323050756
114	0.03224401947
115	0.03218930642
116	0.03212707327
117	0.03208383553
118	0.03204468188
119	0.03195949622
120	0.03193413589
121	0.03188255695
122	0.03179474269
123	0.03168253642
124	0.03159805827
125	0.0315104555
126	0.03145557735
127	0.03138580932
128	0.03130665781
129	0.03122165811
130	0.03112891017
131	0.031068937
132	0.03101228074
133	0.03095918559
134	0.03090727
135	0.03086623643
136	0.03079653069
137	0.03073146625
138	0.03066530047
139	0.03064375677
140	0.03061596366
141	0.03054488102
142	0.03051339342
143	0.03042370215
144	0.03034551129
145	0.03028809188
146	0.03026984049
147	0.03025757335
148	0.03022019776
149	0.03017577305
150	0.03009888889
151	0.03004940945
152	0.02997628396
153	0.02990981077
154	0.02983881535
155	0.02981966735
156	0.02976450932
157	0.02969670148
158	0.02967057793
159	0.0296076616
160	0.02955683029
161	0.02950720539
162	0.02944319128
163	0.02938217417
164	0.02932149459
165	0.02926671444
166	0.02923482166
167	0.0291778965
168	0.02912460534
169	0.0290868114
170	0.0290314724
171	0.02895350485
172	0.0289180903
173	0.02886498066
174	0.02876964397
175	0.02868007601
176	0.02865126288
177	0.02853650427
178	0.0284739054
179	0.02844122866
180	0.02837322805
181	0.02833355926
182	0.02824909452
183	0.02818266862
184	0.02814354144
185	0.02807893754
186	0.02803855427
187	0.02798189697
188	0.02794344487
189	0.02792204699
190	0.02786781428
191	0.02775434754
192	0.02768409208
193	0.02762706869
194	0.02758668764
195	0.02756494595
196	0.02751119844
197	0.02745963784
198	0.02740353457
199	0.02734877129
200	0.0273016998
201	0.02723660265
202	0.02713859924
203	0.02710380335
204	0.0270145564
205	0.02695052235
206	0.02687456433
207	0.02679072167
208	0.02671744038
209	0.02663389523
210	0.02660268276
211	0.02658420041
212	0.0265714907
213	0.02650242277
214	0.02642526891
215	0.02634540597
216	0.02632997544
217	0.02629663465
218	0.02624721291
219	0.02619081896
220	0.02612549931
221	0.02609508632
222	0.02607908527
223	0.0260373765
224	0.02601917669
225	0.02600905651
226	0.02599568397
227	0.02592885607
228	0.02591054139
229	0.02588058914
230	0.02579546858
231	0.02575012582
232	0.02570447547
233	0.02569096926
234	0.02566883632
235	0.0256284527
236	0.02558793213
237	0.02549844799
238	0.02544033168
239	0.02537710725
240	0.0253202483
241	0.02526779605
242	0.02519954428
243	0.0251865156
244	0.02511699201
245	0.02506727689
246	0.02501766775
247	0.02498699929
248	0.02491350985
249	0.02484565407
250	0.0248339426
251	0.02479867066
252	0.02475859468
253	0.02468896424
254	0.02464950111
255	0.02460215514
256	0.02459176168
257	0.02456862708
258	0.02453933185
259	0.02447920984
260	0.02440788646
261	0.02434287778
262	0.02427365864
263	0.02420655008
264	0.02416658723
265	0.02413396197
266	0.02408445361
267	0.02407110613
268	0.02400965466
269	0.02396943731
270	0.02395854663
271	0.0239488552
272	0.02390214211
273	0.02386656421
274	0.02383054205
275	0.02378300921
276	0.02372506994
277	0.02362722056
278	0.02358806391
279	0.02357808889
280	0.02349514745
281	0.02341586397
282	0.02333902932
283	0.02329504658
284	0.02323971233
285	0.02317160834
286	0.02310868382
287	0.02300746254
288	0.02297102623
289	0.02290193409
290	0.02286250307
291	0.02285435796
292	0.02281421453
293	0.02277997765
294	0.02273059807
295	0.02270428617
296	0.02266389776
297	0.022588924
298	0.02252688358
299	0.02250382283
300	0.02249729063
301	0.02241911289
302	0.02235088074
303	0.02228682091
304	0.02225698434
305	0.02220148189
306	0.02214273559
307	0.02207509415
308	0.02199722216
309	0.02199032982
310	0.02196638344
311	0.02193273206
312	0.02192815199
313	0.02190078497
314	0.02180809416
315	0.02175982403
316	0.02169454576
317	0.02162387872
318	0.02157477229
319	0.0215690564
320	0.02152945443
321	0.02152111937
322	0.0214563352
323	0.02145037853
324	0.02140745504
325	0.02135502462
326	0.02130566037
327	0.02128240016
328	0.02122300212
329	0.02121530613
330	0.02116472646
331	0.02109336633
332	0.0210576125
333	0.02104352294
334	0.02101223128
335	0.02097517659
336	0.02089497635
337	0.02082810216
338	0.02080276477
339	0.02079054762
340	0.0207835747
341	0.02076055507
342	0.02071361133
343	0.02067998405
344	0.02067564386
345	0.02066832373
346	0.0206149045
347	0.02054424416
348	0.02053978345
349	0.02048810141
350	0.02042575828
351	0.02036735171
352	0.0203511187
353	0.02034703073
354	0.02030964016
355	0.02030531016
356	0.02026535848
357	0.02020474059
358	0.02015013783
359	0.02012578431
360	0.02005945454
361	0.02002648091
362	0.0199504829
363	0.01989412462
364	0.0198360204
365	0.01980401531
366	0.01980018381
367	0.01977390739
368	0.01970045016
369	0.01964023179
370	0.01962635579
371	0.01961113336
372	0.01954292259
373	0.01953284448
374	0.01952261549
375	0.01951862431
376	0.01945451324
377	0.0194066035
378	0.01940152327
379	0.01934555409
380	0.01930482787
381	0.01930143489
382	0.01929798232
383	0.01928951314
384	0.01924014699
385	0.01921323442
386	0.01920926054
387	0.01913662397
388	0.01907726534
389	0.01907354586
390	0.0190174012
391	0.01898210664
392	0.0189573833
393	0.01894116176
394	0.01891417307
395	0.01890368199
396	0.01888397224
397	0.01885089288
398	0.01878895334
399	0.01873969632
400	0.01869843569
401	0.0186394215
402	0.01857022629
403	0.01853744102
404	0.01852766499
405	0.01846571484
406	0.0184626459
407	0.0184584171
408	0.01844198448
409	0.01837626354
410	0.01837282486
411	0.0183692899
412	0.01832717108
413	0.01831169114
414	0.01828141455
415	0.01827837519
416	0.01825160689
417	0.01820080861
418	0.01814242808
419	0.01812547244
420	0.01812283527
421	0.01808100557
422	0.01804788305
423	0.01798629934
424	0.01795256304
425	0.01789548062
426	0.01786138427
427	0.01781464783
428	0.01777977441
429	0.01773448034
430	0.01773177306
431	0.01772985915
432	0.01767352406
433	0.01761493814
434	0.01756859457
435	0.01756259807
436	0.01755648237
437	0.01755456064
438	0.01752241695
439	0.0175190501
440	0.01748914934
441	0.01742837798
442	0.01738529618
443	0.01732912735
444	0.01732677734
445	0.01732469195
446	0.01729984462
447	0.01723647304
448	0.01723327361
449	0.01717983758
450	0.01712847352
451	0.01707414311
452	0.01703967476
453	0.01703775889
454	0.01699901653
455	0.01699695138
456	0.01699390416
457	0.01697123636
458	0.01694890759
459	0.0169200494
460	0.01687546866
461	0.01687263545
462	0.01684651682
463	0.016811056
464	0.0167576224
465	0.01675514853
466	0.0167257339
467	0.0167067379
468	0.01668356416
469	0.01665273982
470	0.01662805587
471	0.01658920239
472	0.01655926929
473	0.01650972024
474	0.01648522665
475	0.01648236707
476	0.01644957588
477	0.0164202687
478	0.01637569728
479	0.01635542411
480	0.01630360208
481	0.01627754439
482	0.01625665655
483	0.01621793888
484	0.01621516469
485	0.01617486642
486	0.0161721249
487	0.01612810354
488	0.0160775883
489	0.01602170553
490	0.01597956844
491	0.01594062744
492	0.01593797012
493	0.01588351609
494	0.01585092623
495	0.01580050633
496	0.01579808007
497	0.01576714867
498	0.01573164542
499	0.0157285842
500	0.01568109958
501	0.01566483659
502	0.01562103648
503	0.01560471476
504	0.01558730265
505	0.01555631692
506	0.01555417743
507	0.01555166174
508	0.01550221438
509	0.01549953283
510	0.01548241846
511	0.01548039496
512	0.01546141945
513	0.01540911321
514	0.01537377552
515	0.01536344455
516	0.01534929344
517	0.01532978407
518	0.0153181496
519	0.01529568863
520	0.01525131358
521	0.01524877347
522	0.01520252543
523	0.01518180849
524	0.01512911695
525	0.01510514226
526	0.01508370709
527	0.01506105843
528	0.01500649402
529	0.01498184512
530	0.01496105005
531	0.01492596586
532	0.01488842679
533	0.01487120941
534	0.01485022684
535	0.01480169521
536	0.01474892859
537	0.01473541676
538	0.01471025822
539	0.01466781158
540	0.01466486774
541	0.01462430748
542	0.01462243948
543	0.01460684593
544	0.01456115325
545	0.01451105503
546	0.01447499855
547	0.01443976947
548	0.01440910769
549	0.01437107104
550	0.01433325751
551	0.01431956733
552	0.01428545425
553	0.01426408786
554	0.0142617191
555	0.01420395435
556	0.01418752045
557	0.01414094243
558	0.0141356611
559	0.01408785247
560	0.0140734113
561	0.01404511708
562	0.01403201777
563	0.01399355554
564	0.01395463161
565	0.01391646258
566	0.01390808912
567	0.01390633046
568	0.01389959805
569	0.01386539922
570	0.01385284236
571	0.0138384174
572	0.01382096753
573	0.01380630013
574	0.01377474704
575	0.01374294639
576	0.01371971446
577	0.01369766606
578	0.0136481875
579	0.01363080195
580	0.01359959634
581	0.01357093632
582	0.01356732075
583	0.01352697505
584	0.01348969069
585	0.01346018935
586	0.01342840388
587	0.01339855164
588	0.01336385095
589	0.01333164044
590	0.01332869386
591	0.01330599803
592	0.0132971633
593	0.01327514979
594	0.01323672748
595	0.01319921832
596	0.01316784936
597	0.01314578993
598	0.01312939544
599	0.01311735615
600	0.01311604426
601	0.01311019277
602	0.0131035713
603	0.01307637093
604	0.01305657896
605	0.01302742811
606	0.01299093568
607	0.01296099289
608	0.01294030896
609	0.0129095077
610	0.012908011
611	0.01288093111
612	0.01284132196
613	0.01280378875
614	0.01278548233
615	0.01277278138
616	0.01273824493
617	0.01270652939
618	0.01266813422
619	0.01263830944
620	0.01262402858
621	0.01261277456
622	0.01258406761
623	0.012545462
624	0.01252178014
625	0.01252020831
626	0.01249892042
627	0.01246633632
628	0.01244217223
629	0.01242919734
630	0.01242677378
631	0.01240154957
632	0.01238100599
633	0.01236261751
634	0.01235921047
635	0.01235581519
636	0.01232904974
637	0.01229810758
638	0.01226616453
639	0.01225004181
640	0.0122407977
641	0.01223259266
642	0.01219649877
643	0.0121720705
644	0.01213952666
645	0.01210945066
646	0.01208884816
647	0.0120840651
648	0.01205819232
649	0.0120389966
650	0.01203633052
651	0.012018951
652	0.01201168094
653	0.01198557527
654	0.01198399378
655	0.01197081847
656	0.01195305503
657	0.0119180647
658	0.01187183426
659	0.01185562863
660	0.01185099921
661	0.01183694896
662	0.01183517497
663	0.01182615767
664	0.01180515004
665	0.01180346502
666	0.01178577265
667	0.01177414268
668	0.01177280436
669	0.01174989155
670	0.01172883448
671	0.01171415343
672	0.01169685015
673	0.01166909674
674	0.01165029748
675	0.01161804433
676	0.01158166809
677	0.01157380235
678	0.01153636005
679	0.01153097823
680	0.01150740453
681	0.01147692729
682	0.01145988588
683	0.01143523891
684	0.01142575778
685	0.01142108788
686	0.0114103829
687	0.0113948154
688	0.01137948179
689	0.01135551888
690	0.01132743023
691	0.01130106476
692	0.01128085178
693	0.01125641203
694	0.0112297781
695	0.01120997139
696	0.01118189946
697	0.01116600766
698	0.01113295278
699	0.01110919124
700	0.01110782806
701	0.01108713147
702	0.01106390509
703	0.01103497211
704	0.01101729615
705	0.01099122457
706	0.01096054472
707	0.01095330095
708	0.01094385804
709	0.01091133863
710	0.01088596082
711	0.01085795654
712	0.01082230623
713	0.01081557145
714	0.01080370575
715	0.0107763509
716	0.01076966329
717	0.01075691589
718	0.01073896285
719	0.01073043573
720	0.01071966683
721	0.01070481091
722	0.01068402557
723	0.01066909197
724	0.01065962084
725	0.01064800358
726	0.01061753003
727	0.01058556328
728	0.010581361
729	0.01056367473
730	0.01055967611
731	0.01055236022
732	0.0105321483
733	0.01048591343
734	0.01047590847
735	0.0104642386
736	0.01044726659
737	0.01043290939
738	0.01040388533
739	0.01036406172
740	0.01034921263
741	0.01031761585
742	0.01031066268
743	0.0103064939
744	0.01028481535
745	0.01026994229
746	0.01024147532
747	0.01021047324
748	0.01018813097
749	0.01017436811
750	0.01015997077
751	0.01012978568
752	0.01009646342
753	0.01007862202
754	0.01005770283
755	0.01003270374
756	0.01001085513
757	0.009996774516
758	0.009970868618
759	0.009969912686
760	0.009943593258
761	0.009933139797
762	0.009918761323
763	0.009906331256
764	0.009905007008
765	0.009889681123
766	0.009881730746
767	0.009863791732
768	0.009855611084
769	0.009836159414
770	0.009806640514
771	0.00977724509
772	0.009769073751
773	0.009761523023
774	0.009745372238
775	0.009732126242
776	0.009706528911
777	0.009689644037
778	0.009669965706
779	0.009647674841
780	0.009617972381
781	0.009599284671
782	0.009597276961
783	0.009581947381
784	0.009573993052
785	0.009559441867
786	0.009556199842
787	0.009542964063
788	0.009527253595
789	0.00951762607
